store,date,sales
1,2013-01-01,1316
1,2013-01-02,1264
1,2013-01-03,1305
1,2013-01-04,1452
1,2013-01-05,1499
1,2013-01-06,1613
1,2013-01-07,1012
1,2013-01-08,1228
1,2013-01-09,1243
1,2013-01-10,1339
1,2013-01-11,1391
1,2013-01-12,1491
1,2013-01-13,1585
1,2013-01-14,1048
1,2013-01-15,1279
1,2013-01-16,1232
1,2013-01-17,1303
1,2013-01-18,1368
1,2013-01-19,1450
1,2013-01-20,1607
1,2013-01-21,1027
1,2013-01-22,1284
1,2013-01-23,1187
1,2013-01-24,1327
1,2013-01-25,1396
1,2013-01-26,1443
1,2013-01-27,1565
1,2013-01-28,1045
1,2013-01-29,1238
1,2013-01-30,1152
1,2013-01-31,1388
1,2013-02-01,1643
1,2013-02-02,1656
1,2013-02-03,1704
1,2013-02-04,1186
1,2013-02-05,1319
1,2013-02-06,1332
1,2013-02-07,1474
1,2013-02-08,1606
1,2013-02-09,1617
1,2013-02-10,1747
1,2013-02-11,1141
1,2013-02-12,1406
1,2013-02-13,1376
1,2013-02-14,1418
1,2013-02-15,1572
1,2013-02-16,1645
1,2013-02-17,1779
1,2013-02-18,1225
1,2013-02-19,1370
1,2013-02-20,1350
1,2013-02-21,1476
1,2013-02-22,1587
1,2013-02-23,1689
1,2013-02-24,1728
1,2013-02-25,1173
1,2013-02-26,1348
1,2013-02-27,1279
1,2013-02-28,1460
1,2013-03-01,1933
1,2013-03-02,2011
1,2013-03-03,2102
1,2013-03-04,1406
1,2013-03-05,1622
1,2013-03-06,1716
1,2013-03-07,1816
1,2013-03-08,1916
1,2013-03-09,1989
1,2013-03-10,2149
1,2013-03-11,1365
1,2013-03-12,1580
1,2013-03-13,1607
1,2013-03-14,1755
1,2013-03-15,1817
1,2013-03-16,2057
1,2013-03-17,2065
1,2013-03-18,1479
1,2013-03-19,1675
1,2013-03-20,1692
1,2013-03-21,1709
1,2013-03-22,1802
1,2013-03-23,1979
1,2013-03-24,2093
1,2013-03-25,1376
1,2013-03-26,1625
1,2013-03-27,1574
1,2013-03-28,1816
1,2013-03-29,1889
1,2013-03-30,2052
1,2013-03-31,2160
1,2013-04-01,1711
1,2013-04-02,1875
1,2013-04-03,1894
1,2013-04-04,2048
1,2013-04-05,2178
1,2013-04-06,2447
1,2013-04-07,2465
1,2013-04-08,1569
1,2013-04-09,1934
1,2013-04-10,1952
1,2013-04-11,2055
1,2013-04-12,2159
1,2013-04-13,2369
1,2013-04-14,2504
1,2013-04-15,1682
1,2013-04-16,1909
1,2013-04-17,1867
1,2013-04-18,1982
1,2013-04-19,2144
1,2013-04-20,2266
1,2013-04-21,2518
1,2013-04-22,1637
1,2013-04-23,1938
1,2013-04-24,1990
1,2013-04-25,2037
1,2013-04-26,2169
1,2013-04-27,2265
1,2013-04-28,2461
1,2013-04-29,1565
1,2013-04-30,1933
1,2013-05-01,2111
1,2013-05-02,2273
1,2013-05-03,2315
1,2013-05-04,2504
1,2013-05-05,2533
1,2013-05-06,1774
1,2013-05-07,2046
1,2013-05-08,2083
1,2013-05-09,2171
1,2013-05-10,2384
